,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
233,19,IA,12,OFF-HIGHWAY,CO,1996,318.43485
234,19,IA,14,MISCELLANEOUS,CO,1996,4.92716
235,19,IA,15,WILDFIRES,CO,1996,NA
236,19,IA,16,PRESCRIBED FIRES,CO,1996,NA
237,20,KS,1,FUEL COMB. ELEC. UTIL.,CO,1996,5.86659
238,20,KS,2,FUEL COMB. INDUSTRIAL,CO,1996,33.1331
239,20,KS,3,FUEL COMB. OTHER,CO,1996,32.80258
240,20,KS,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,44.25531
241,20,KS,5,METALS PROCESSING,CO,1996,0.37059
242,20,KS,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,2.7135
243,20,KS,7,OTHER INDUSTRIAL PROCESSES,CO,1996,3.82764
244,20,KS,8,SOLVENT UTILIZATION,CO,1996,0.00364
245,20,KS,9,STORAGE & TRANSPORT,CO,1996,0.03493
246,20,KS,10,WASTE DISPOSAL & RECYCLING,CO,1996,19.89114
247,20,KS,11,HIGHWAY VEHICLES,CO,1996,922.8694
248,20,KS,12,OFF-HIGHWAY,CO,1996,271.02308
249,20,KS,14,MISCELLANEOUS,CO,1996,953.90232
250,20,KS,15,WILDFIRES,CO,1996,NA
251,20,KS,16,PRESCRIBED FIRES,CO,1996,NA
252,21,KY,1,FUEL COMB. ELEC. UTIL.,CO,1996,12.24394
253,21,KY,2,FUEL COMB. INDUSTRIAL,CO,1996,16.67863
254,21,KY,3,FUEL COMB. OTHER,CO,1996,55.92683
255,21,KY,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,0.2378
256,21,KY,5,METALS PROCESSING,CO,1996,33.77236
257,21,KY,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,3.89465
258,21,KY,7,OTHER INDUSTRIAL PROCESSES,CO,1996,15.18075
259,21,KY,8,SOLVENT UTILIZATION,CO,1996,0.00142
260,21,KY,9,STORAGE & TRANSPORT,CO,1996,NA
261,21,KY,10,WASTE DISPOSAL & RECYCLING,CO,1996,55.53665
262,21,KY,11,HIGHWAY VEHICLES,CO,1996,1362.71065
263,21,KY,12,OFF-HIGHWAY,CO,1996,287.64435
264,21,KY,14,MISCELLANEOUS,CO,1996,26.92109
265,21,KY,15,WILDFIRES,CO,1996,NA
266,21,KY,16,PRESCRIBED FIRES,CO,1996,NA
267,22,LA,1,FUEL COMB. ELEC. UTIL.,CO,1996,10.773
268,22,LA,2,FUEL COMB. INDUSTRIAL,CO,1996,123.60348
269,22,LA,3,FUEL COMB. OTHER,CO,1996,24.13693
270,22,LA,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,431.9848
271,22,LA,5,METALS PROCESSING,CO,1996,2.2995
272,22,LA,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,63.087
273,22,LA,7,OTHER INDUSTRIAL PROCESSES,CO,1996,20.38542
274,22,LA,8,SOLVENT UTILIZATION,CO,1996,0.068
275,22,LA,9,STORAGE & TRANSPORT,CO,1996,0.11582
276,22,LA,10,WASTE DISPOSAL & RECYCLING,CO,1996,55.30074
277,22,LA,11,HIGHWAY VEHICLES,CO,1996,1185.61044
278,22,LA,12,OFF-HIGHWAY,CO,1996,390.35008
279,22,LA,14,MISCELLANEOUS,CO,1996,107.36114
280,22,LA,15,WILDFIRES,CO,1996,NA
281,22,LA,16,PRESCRIBED FIRES,CO,1996,NA
