"","State Code","State","Tier 1 Code","pollutant","year","Sum"
"318","13","GA","12","OFF-HIGHWAY_SO2",1996,"8.10442"
"319","13","GA","14","MISCELLANEOUS_CO",1996,"132.10396"
"320","13","GA","14","MISCELLANEOUS_SO2",1996,"0.35847"
"321","13","GA","15","WILDFIRES_CO",1996,NA
"322","13","GA","15","WILDFIRES_SO2",1996,NA
"323","13","GA","16","PRESCRIBED FIRES_CO",1996,NA
"324","13","GA","16","PRESCRIBED FIRES_SO2",1996,NA
"325","15","HI","01","FUEL COMB. ELEC. UTIL._CO",1996,"4.27333"
"326","15","HI","01","FUEL COMB. ELEC. UTIL._SO2",1996,"38.55969"
"327","15","HI","02","FUEL COMB. INDUSTRIAL_CO",1996,"6.2928"
"328","15","HI","02","FUEL COMB. INDUSTRIAL_SO2",1996,"16.14645"
"329","15","HI","03","FUEL COMB. OTHER_CO",1996,"0.03704"
"330","15","HI","03","FUEL COMB. OTHER_SO2",1996,"0.00826"
"331","15","HI","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,NA
"332","15","HI","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,NA
"333","15","HI","05","METALS PROCESSING_CO",1996,NA
"334","15","HI","05","METALS PROCESSING_SO2",1996,NA
"335","15","HI","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"0.06724"
"336","15","HI","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"2.05028"
"337","15","HI","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"0.04324"
"338","15","HI","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"0.36343"
"339","15","HI","08","SOLVENT UTILIZATION_CO",1996,NA
"340","15","HI","08","SOLVENT UTILIZATION_SO2",1996,NA
"341","15","HI","09","STORAGE & TRANSPORT_CO",1996,NA
"342","15","HI","09","STORAGE & TRANSPORT_SO2",1996,"1.06302"
"343","15","HI","10","WASTE DISPOSAL & RECYCLING_CO",1996,"0.81748"
